lemma,pos,ner
nearly,RB,O
five,CD,O
before,IN,O
we,PRP,O
be,VBD,O
back,RB,O
in,IN,O
Baker,NNP,LOCATION
Street,NNP,LOCATION
once,RB,O
more,RBR,O
.,.,O
"""",``,O
beg,VB,O
pardon,NN,O
",",",",O
sir,NN,O
",",",",O
"""",'',O
say,VBD,O
we,PRP$,O
page,NN,O
-,HYPH,O
boy,NN,O
",",",",O
as,IN,O
he,PRP,O
open,VBD,O
the,DT,O
door,NN,O
.,.,O
"""",``,O
there,EX,O
be,VBZ,O
be,VBN,O
a,DT,O
gentleman,NN,O
here,RB,O
ask,VBG,O
for,IN,O
you,PRP,O
",",",",O
sir,NN,O
.,.,O
"""",'',O
Holmes,NNP,PERSON
glance,VBD,O
reproachfully,RB,O
at,IN,O
I,PRP,O
.,.,O
"""",``,O
so,RB,O
much,JJ,O
for,IN,O
afternoon,NN,O
walk,VBZ,O
!,.,O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
have,VBZ,O
this,DT,O
gentleman,NN,O
go,VBN,O
",",",",O
then,RB,O
?,.,O
"""",'',O
"""",``,O
yes,UH,O
",",",",O
sir,NN,O
.,.,O
"""",'',O
"""",``,O
do,VBD,O
not,RB,O
you,PRP,O
ask,VB,O
he,PRP,O
in,IN,O
?,.,O
"""",'',O
"""",``,O
yes,UH,O
",",",",O
sir,NN,O
;,:,O
he,PRP,O
come,VBD,O
in,RB,O
.,.,O
"""",'',O
"""",``,O
how,WRB,O
long,RB,O
do,VBD,O
he,PRP,O
wait,VB,O
?,.,O
"""",'',O
"""",``,O
half,PDT,O
a,DT,O
hour,NN,O
",",",",O
sir,NN,O
.,.,O
he,PRP,O
be,VBD,O
a,DT,O
very,RB,O
restless,JJ,O
gentleman,NN,O
",",",",O
sir,NN,O
",",",",O
a-walkin,NN,O
','',O
and,CC,O
a-stampin,JJ,O
','',O
all,PDT,O
the,DT,O
time,NN,O
he,PRP,O
be,VBD,O
here,RB,O
.,.,O
I,PRP,O
be,VBD,O
waitin,NN,O
','',O
outside,IN,O
the,DT,O
door,NN,O
",",",",O
sir,NN,O
",",",",O
and,CC,O
I,PRP,O
could,MD,O
hear,VB,O
he,PRP,O
.,.,O
at,IN,O
last,RB,O
he,PRP,O
out,NNS,O
into,IN,O
the,DT,O
passage,NN,O
",",",",O
and,CC,O
he,PRP,O
cry,VBZ,O
",",",",O
',``,O
be,VBZ,O
that,DT,O
man,NN,O
never,RB,O
goin,JJ,O
','',O
to,TO,O
come,VB,O
?,.,O
',``,O
those,DT,O
be,VBD,O
he,PRP$,O
very,RB,O
word,NNS,O
",",",",O
sir,NN,O
.,.,O
','',O
you,PRP,O
will,MD,O
only,RB,O
need,VB,O
to,TO,O
wait,VB,O
a,DT,O
little,RB,O
longer,RBR,O
",",",",O
','',O
say,VBZ,O
I.,NNP,O
',POS,O
then,RB,O
I,PRP,O
will,MD,O
wait,VB,O
in,IN,O
the,DT,O
open,JJ,O
air,NN,O
",",",",O
for,IN,O
I,PRP,O
feel,VBP,O
half,JJ,O
choke,VBN,O
",",",",O
','',O
say,VBZ,O
he,PRP,O
.,.,O
','',O
I,PRP,O
will,MD,O
be,VB,O
back,RB,O
before,RB,O
long,RB,O
.,.,O
',``,O
and,CC,O
with,IN,O
that,DT,O
he,PRP,O
up,NNS,O
and,CC,O
he,PRP,O
out,NNS,O
",",",",O
and,CC,O
all,DT,O
I,PRP,O
could,MD,O
say,VB,O
would,MD,O
not,RB,O
hold,VB,O
he,PRP,O
back,RB,O
.,.,O
"""",``,O
"""",``,O
well,UH,O
",",",",O
well,UH,O
",",",",O
you,PRP,O
do,VBD,O
you,PRP$,O
best,JJS,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
",",",",O
as,IN,O
we,PRP,O
walk,VBD,O
into,IN,O
we,PRP$,O
room,NN,O
.,.,O
"""",'',O
it,PRP,O
be,VBZ,O
very,RB,O
annoying,JJ,O
",",",",O
though,RB,O
",",",",O
Watson,NNP,PERSON
.,.,O
I,PRP,O
be,VBD,O
badly,RB,O
in,IN,O
need,NN,O
of,IN,O
a,DT,O
case,NN,O
",",",",O
and,CC,O
this,DT,O
look,VBZ,O
",",",",O
from,IN,O
the,DT,O
man,NN,O
's,POS,O
impatience,NN,O
",",",",O
as,IN,O
if,IN,O
it,PRP,O
be,VBD,O
of,IN,O
importance,NN,O
.,.,O
Hullo,NNP,O
!,.,O
that,DT,O
be,VBZ,O
not,RB,O
you,PRP$,O
pipe,NN,O
on,IN,O
the,DT,O
table,NN,O
.,.,O
he,PRP,O
must,MD,O
have,VB,O
leave,VBN,O
he,PRP$,O
behind,IN,O
he,PRP,O
.,.,O
a,DT,O
nice,JJ,O
old,JJ,O
brier,NN,O
with,IN,O
a,DT,O
good,JJ,O
long,JJ,O
stem,NN,O
of,IN,O
what,WP,O
the,DT,O
tobacconist,NNS,O
call,VBP,O
amber,NN,O
.,.,O
I,PRP,O
wonder,VBP,O
how,WRB,O
many,JJ,O
real,JJ,O
amber,NN,O
mouthpiece,NNS,O
there,EX,O
be,VBP,O
in,IN,O
London,NNP,LOCATION
?,.,O
some,DT,O
people,NNS,O
think,VBP,O
that,IN,O
a,DT,O
fly,NN,O
in,IN,O
it,PRP,O
be,VBZ,O
a,DT,O
sign,NN,O
.,.,O
well,UH,O
",",",",O
he,PRP,O
must,MD,O
have,VB,O
be,VBN,O
disturb,VBN,O
in,IN,O
he,PRP$,O
mind,NN,O
to,TO,O
leave,VB,O
a,DT,O
pipe,NN,O
behind,IN,O
he,PRP,O
which,WDT,O
he,PRP,O
evidently,RB,O
value,VBZ,O
highly,RB,O
.,.,O
"""",``,O
"""",``,O
how,WRB,O
do,VBP,O
you,PRP,O
know,VB,O
that,IN,O
he,PRP,O
value,VBZ,O
it,PRP,O
highly,RB,O
?,.,O
"""",``,O
I,PRP,O
ask,VBD,O
.,.,O
"""",'',O
well,UH,O
",",",",O
I,PRP,O
should,MD,O
put,VB,O
the,DT,O
original,JJ,O
cost,NN,O
of,IN,O
the,DT,O
pipe,NN,O
at,IN,O
seven,CD,O
and,CC,O
sixpence,NN,O
.,.,O
now,RB,O
it,PRP,O
have,VBZ,O
",",",",O
you,PRP,O
see,VBP,O
",",",",O
be,VBN,O
twice,RB,O
mend,VBN,O
",",",",O
once,RB,O
in,IN,O
the,DT,O
wooden,JJ,O
stem,NN,O
and,CC,O
once,RB,O
in,IN,O
the,DT,O
amber,NN,O
.,.,O
each,DT,O
of,IN,O
these,DT,O
mend,NNS,O
",",",",O
do,VBN,O
",",",",O
as,IN,O
you,PRP,O
observe,VBP,O
",",",",O
with,IN,O
silver,NN,O
band,NNS,O
",",",",O
must,MD,O
have,VB,O
cost,VBN,O
more,JJR,O
than,IN,O
the,DT,O
pipe,NN,O
do,VBD,O
originally,RB,O
.,.,O
the,DT,O
man,NN,O
must,MD,O
value,VB,O
the,DT,O
pipe,NN,O
highly,RB,O
when,WRB,O
he,PRP,O
prefer,VBZ,O
to,IN,O
patch,NN,O
it,PRP,O
up,RP,O
rather,RB,O
than,IN,O
buy,VB,O
a,DT,O
new,JJ,O
one,NN,O
with,IN,O
the,DT,O
same,JJ,O
money,NN,O
.,.,O
"""",``,O
"""",``,O
anything,NN,O
else,RB,O
?,.,O
"""",``,O
I,PRP,O
ask,VBD,O
",",",",O
for,IN,O
Holmes,NNP,PERSON
be,VBD,O
turn,VBG,O
the,DT,O
pipe,NN,O
about,IN,O
in,IN,O
he,PRP$,O
hand,NN,O
",",",",O
and,CC,O
stare,VBG,O
at,IN,O
it,PRP,O
in,IN,O
he,PRP$,O
peculiar,JJ,O
pensive,JJ,O
way,NN,O
.,.,O
he,PRP,O
hold,VBD,O
it,PRP,O
up,RP,O
and,CC,O
tap,VBN,O
on,IN,O
it,PRP,O
with,IN,O
he,PRP$,O
long,JJ,O
",",",",O
thin,JJ,O
fore,NN,O
-,HYPH,O
finger,NN,O
",",",",O
as,IN,O
a,DT,O
professor,NN,O
might,MD,O
who,WP,O
be,VBD,O
lecture,VBG,O
on,IN,O
a,DT,O
bone,NN,O
.,.,O
"""",``,O
pipe,NNS,O
be,VBP,O
occasionally,RB,O
of,IN,O
extraordinary,JJ,O
interest,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",``,O
nothing,NN,O
have,VBZ,O
more,JJR,O
individuality,NN,O
",",",",O
save,VB,O
perhaps,RB,O
watch,NNS,O
and,CC,O
bootlace,NNS,O
.,.,O
the,DT,O
indication,NNS,O
here,RB,O
",",",",O
however,RB,O
",",",",O
be,VBP,O
neither,CC,O
very,RB,O
marked,JJ,O
nor,CC,O
very,RB,O
important,JJ,O
.,.,O
the,DT,O
owner,NN,O
be,VBZ,O
obviously,RB,O
a,DT,O
muscular,JJ,O
man,NN,O
",",",",O
left,JJ,O
-,HYPH,O
handed,JJ,O
",",",",O
with,IN,O
a,DT,O
excellent,JJ,O
set,NN,O
of,IN,O
tooth,NNS,O
",",",",O
careless,JJ,O
in,IN,O
he,PRP$,O
habit,NNS,O
",",",",O
and,CC,O
with,IN,O
no,DT,O
need,NN,O
to,TO,O
practise,VB,O
economy,NN,O
.,.,O
"""",``,O
my,PRP$,O
friend,NN,O
throw,VBD,O
out,RP,O
the,DT,O
information,NN,O
in,IN,O
a,DT,O
very,RB,O
offhand,JJ,O
way,NN,O
",",",",O
but,CC,O
I,PRP,O
see,VBD,O
that,IN,O
he,PRP,O
cocked,JJ,O
he,PRP$,O
eye,NN,O
at,IN,O
I,PRP,O
to,TO,O
see,VB,O
if,IN,O
I,PRP,O
have,VBD,O
follow,VBN,O
he,PRP$,O
reasoning,NN,O
.,.,O
"""",'',O
you,PRP,O
think,VBP,O
a,DT,O
man,NN,O
must,MD,O
be,VB,O
well,RB,O
-,HYPH,O
to,TO,O
-,HYPH,O
do,VB,O
if,IN,O
he,PRP,O
smoke,VBZ,O
a,DT,O
seven,CD,O
-,HYPH,O
shilling,NN,O
pipe,NN,O
",",",",O
"""",'',O
say,VBD,O
I.,NNP,O
"""",``,O
this,DT,O
be,VBZ,O
Grosvenor,NNP,MISC
mixture,NN,O
at,IN,O
eightpence,NN,O
a,DT,O
ounce,NN,O
",",",",O
"""",'',O
Holmes,NNP,PERSON
answer,VBD,O
",",",",O
knock,VBG,O
a,DT,O
little,JJ,O
out,RP,O
on,IN,O
he,PRP$,O
palm,NN,O
.,.,O
"""",'',O
as,IN,O
he,PRP,O
might,MD,O
get,VB,O
a,DT,O
excellent,JJ,O
smoke,NN,O
for,IN,O
half,PDT,O
the,DT,O
price,NN,O
",",",",O
he,PRP,O
have,VBZ,O
no,DT,O
need,NN,O
to,TO,O
practise,VB,O
economy,NN,O
.,.,O
"""",``,O
"""",``,O
and,CC,O
the,DT,O
other,JJ,O
point,NNS,O
?,.,O
"""",``,O
"""",``,O
he,PRP,O
have,VBZ,O
be,VBN,O
in,IN,O
the,DT,O
habit,NN,O
of,IN,O
light,VBG,O
he,PRP$,O
pipe,NN,O
at,IN,O
lamp,NNS,O
and,CC,O
gas,NN,O
-,HYPH,O
jet,NNS,O
.,.,O
you,PRP,O
can,MD,O
see,VB,O
that,IN,O
it,PRP,O
be,VBZ,O
quite,RB,O
charred,JJ,O
all,DT,O
down,IN,O
one,CD,O
side,NN,O
.,.,O
of,RB,O
course,RB,O
a,DT,O
match,NN,O
could,MD,O
not,RB,O
have,VB,O
do,VBN,O
that,DT,O
.,.,O
why,WRB,O
should,MD,O
a,DT,O
man,NN,O
hold,VB,O
a,DT,O
match,NN,O
to,IN,O
the,DT,O
side,NN,O
of,IN,O
he,PRP$,O
pipe,NN,O
?,.,O
but,CC,O
you,PRP,O
can,MD,O
not,RB,O
light,VB,O
it,PRP,O
at,IN,O
a,DT,O
lamp,NN,O
without,IN,O
get,VBG,O
the,DT,O
bowl,NN,O
char,VBN,O
.,.,O
and,CC,O
it,PRP,O
be,VBZ,O
all,RB,O
on,IN,O
the,DT,O
right,JJ,O
side,NN,O
of,IN,O
the,DT,O
pipe,NN,O
.,.,O
from,IN,O
that,DT,O
I,PRP,O
gather,VBP,O
that,IN,O
he,PRP,O
be,VBZ,O
a,DT,O
left,JJ,O
-,HYPH,O
handed,JJ,O
man,NN,O
.,.,O
you,PRP,O
hold,VBP,O
you,PRP$,O
own,JJ,O
pipe,NN,O
to,IN,O
the,DT,O
lamp,NN,O
",",",",O
and,CC,O
see,VB,O
how,WRB,O
naturally,RB,O
you,PRP,O
",",",",O
be,VBG,O
right,JJ,O
-,HYPH,O
handed,JJ,O
",",",",O
hold,VB,O
the,DT,O
left,JJ,O
side,NN,O
to,IN,O
the,DT,O
flame,NN,O
.,.,O
you,PRP,O
might,MD,O
do,VB,O
it,PRP,O
once,IN,O
the,DT,O
other,JJ,O
way,NN,O
",",",",O
but,CC,O
not,RB,O
as,IN,O
a,DT,O
constancy,NN,O
.,.,O
this,DT,O
have,VBZ,O
always,RB,O
be,VBN,O
hold,VBN,O
so,RB,O
.,.,O
then,RB,O
he,PRP,O
have,VBZ,O
bite,VBN,O
through,IN,O
he,PRP$,O
amber,NN,O
.,.,O
it,PRP,O
take,VBZ,O
a,DT,O
muscular,JJ,O
",",",",O
energetic,JJ,O
fellow,NN,O
",",",",O
and,CC,O
one,CD,O
with,IN,O
a,DT,O
good,JJ,O
set,NN,O
of,IN,O
tooth,NNS,O
",",",",O
to,TO,O
do,VB,O
that,DT,O
.,.,O
but,CC,O
if,IN,O
I,PRP,O
be,VBP,O
not,RB,O
mistaken,JJ,O
I,PRP,O
hear,VBP,O
he,PRP,O
upon,IN,O
the,DT,O
stair,NN,O
",",",",O
so,RB,O
we,PRP,O
shall,MD,O
have,VB,O
something,NN,O
more,RBR,O
interesting,JJ,O
than,IN,O
he,PRP$,O
pipe,NN,O
to,TO,O
study,VB,O
.,.,O
"""",``,O
a,DT,O
instant,NN,O
later,RB,O
we,PRP$,O
door,NN,O
open,VBN,O
",",",",O
and,CC,O
a,DT,O
tall,JJ,O
young,JJ,O
man,NN,O
enter,VBD,O
the,DT,O
room,NN,O
.,.,O
he,PRP,O
be,VBD,O
well,RB,O
but,CC,O
quietly,RB,O
dress,VBN,O
in,IN,O
a,DT,O
dark,JJ,O
-,HYPH,O
gray,JJ,O
suit,NN,O
",",",",O
and,CC,O
carry,VBD,O
a,DT,O
brown,JJ,O
wide,JJ,O
-,HYPH,O
awake,JJ,O
in,IN,O
he,PRP$,O
hand,NN,O
.,.,O
I,PRP,O
should,MD,O
have,VB,O
put,VBN,O
he,PRP,O
at,IN,O
about,RB,O
thirty,CD,O
",",",",O
though,IN,O
he,PRP,O
be,VBD,O
really,RB,O
some,DT,O
year,NNS,O
older,JJR,O
.,.,O
"""",``,O
I,PRP,O
beg,VBP,O
you,PRP$,O
pardon,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
",",",",O
with,IN,O
some,DT,O
embarrassment,NN,O
;,:,O
"""",``,O
I,PRP,O
suppose,VBP,O
I,PRP,O
should,MD,O
have,VB,O
knock,VBN,O
.,.,O
yes,UH,O
",",",",O
of,IN,O
course,NN,O
I,PRP,O
should,MD,O
have,VB,O
knock,VBN,O
.,.,O
the,DT,O
fact,NN,O
be,VBZ,O
that,IN,O
I,PRP,O
be,VBP,O
a,DT,O
little,JJ,O
upset,JJ,O
",",",",O
and,CC,O
you,PRP,O
must,MD,O
put,VB,O
it,PRP,O
all,DT,O
down,RP,O
to,IN,O
that,DT,O
.,.,O
"""",``,O
he,PRP,O
pass,VBD,O
he,PRP$,O
hand,NN,O
over,IN,O
he,PRP$,O
forehead,NN,O
like,IN,O
a,DT,O
man,NN,O
who,WP,O
be,VBZ,O
half,JJ,O
dazed,JJ,O
",",",",O
and,CC,O
then,RB,O
fall,VBD,O
rather,RB,O
than,IN,O
sit,VBD,O
down,RP,O
upon,IN,O
a,DT,O
chair,NN,O
.,.,O
"""",'',O
I,PRP,O
can,MD,O
see,VB,O
that,IN,O
you,PRP,O
have,VBP,O
not,RB,O
sleep,VB,O
for,IN,O
a,DT,O
night,NN,O
or,CC,O
two,CD,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
",",",",O
in,IN,O
he,PRP$,O
easy,JJ,O
",",",",O
genial,JJ,O
way,NN,O
.,.,O
"""",'',O
that,DT,O
try,VBZ,O
a,DT,O
man,NN,O
's,POS,O
nerve,NNS,O
more,JJR,O
than,IN,O
work,NN,O
",",",",O
and,CC,O
more,RBR,O
even,RB,O
than,IN,O
pleasure,NN,O
.,.,O
may,MD,O
I,PRP,O
ask,VB,O
how,WRB,O
I,PRP,O
can,MD,O
help,VB,O
you,PRP,O
?,.,O
"""",``,O
"""",``,O
I,PRP,O
want,VBD,O
you,PRP$,O
advice,NN,O
",",",",O
sir,NN,O
.,.,O
I,PRP,O
do,VBP,O
not,RB,O
know,VB,O
what,WP,O
to,TO,O
do,VB,O
and,CC,O
my,PRP$,O
whole,JJ,O
life,NN,O
seem,VBZ,O
to,TO,O
have,VB,O
go,VBN,O
to,IN,O
piece,NNS,O
.,.,O
"""",``,O
"""",``,O
you,PRP,O
wish,VBP,O
to,TO,O
employ,VB,O
I,PRP,O
as,IN,O
a,DT,O
consulting,NN,O
detective,NN,O
?,.,O
"""",``,O
"""",``,O
not,RB,O
that,IN,O
only,RB,O
.,.,O
I,PRP,O
want,VBP,O
you,PRP$,O
opinion,NN,O
as,IN,O
a,DT,O
judicious,JJ,O
man,NN,O
--,:,O
as,IN,O
a,DT,O
man,NN,O
of,IN,O
the,DT,O
world,NN,O
.,.,O
I,PRP,O
want,VBP,O
to,TO,O
know,VB,O
what,WP,O
I,PRP,O
ought,MD,O
to,TO,O
do,VB,O
next,RB,O
.,.,O
I,PRP,O
hope,VBP,O
to,IN,O
God,NNP,O
you,PRP,O
will,MD,O
be,VB,O
able,JJ,O
to,TO,O
tell,VB,O
I,PRP,O
.,.,O
"""",``,O
he,PRP,O
speak,VBD,O
in,IN,O
little,JJ,O
",",",",O
sharp,JJ,O
",",",",O
jerky,NN,O
outburst,NNS,O
",",",",O
and,CC,O
it,PRP,O
seem,VBD,O
to,IN,O
I,PRP,O
that,IN,O
to,TO,O
speak,VB,O
at,IN,O
all,DT,O
be,VBD,O
very,RB,O
painful,JJ,O
to,IN,O
he,PRP,O
",",",",O
and,CC,O
that,IN,O
he,PRP$,O
will,MD,O
all,DT,O
through,IN,O
be,VBD,O
override,VBG,O
he,PRP$,O
inclination,NNS,O
.,.,O
"""",'',O
it,PRP,O
be,VBZ,O
a,DT,O
very,RB,O
delicate,JJ,O
thing,NN,O
",",",",O
"""",'',O
say,VBD,O
he,PRP,O
.,.,O
"""",'',O
one,CD,O
do,VBZ,O
not,RB,O
like,VB,O
to,TO,O
speak,VB,O
of,IN,O
one,PRP,O
's,POS,O
domestic,JJ,O
affair,NNS,O
to,IN,O
stranger,NNS,O
.,.,O
it,PRP,O
seem,VBZ,O
dreadful,JJ,O
to,TO,O
discuss,VB,O
the,DT,O
conduct,NN,O
of,IN,O
one,CD,O
's,POS,O
wife,NN,O
with,IN,O
two,CD,O
man,NNS,O
whom,WP,O
I,PRP,O
have,VBP,O
never,RB,O
see,VBN,O
before,RB,O
.,.,O
it,PRP,O
be,VBZ,O
horrible,JJ,O
to,TO,O
have,VB,O
to,TO,O
do,VB,O
it,PRP,O
.,.,O
but,CC,O
I,PRP,O
have,VBP,O
get,VBN,O
to,IN,O
the,DT,O
end,NN,O
of,IN,O
my,PRP$,O
tether,VB,O
",",",",O
and,CC,O
I,PRP,O
must,MD,O
have,VB,O
advice,NN,O
.,.,O
"""",``,O
"""",``,O
my,PRP$,O
dear,JJ,O
Mr.,NNP,PERSON
Grant,NNP,PERSON
Munro,NNP,PERSON
--,:,O
"""",``,O
begin,VBD,O
Holmes,NNP,PERSON
.,.,O
we,PRP$,O
visitor,NN,O
spring,VBD,O
from,IN,O
he,PRP$,O
chair,NN,O
.,.,O
"""",``,O
what,WDT,O
!,.,O
"""",'',O
he,PRP,O
cry,VBD,O
",",",",O
"""",``,O
you,PRP,O
know,VBP,O
my,PRP$,O
name,NN,O
?,.,O
"""",'',O
"""",``,O
if,IN,O
you,PRP,O
wish,VBP,O
to,TO,O
preserve,VB,O
you,PRP$,O
incognito,NN,O
",",",",O
"""",'',O
say,VBD,O
Holmes,NNP,PERSON
",",",",O
smile,VBG,O
",",",",O
"""",``,O
I,PRP,O
would,MD,O
suggest,VB,O
that,IN,O
you,PRP,O
cease,VB,O
to,TO,O
write,VB,O
you,PRP$,O
name,NN,O
upon,IN,O
the,DT,O
lining,NN,O
of,IN,O
you,PRP$,O
hat,NN,O
",",",",O
or,CC,O
else,RB,O
that,DT,O
you,PRP,O
turn,VBP,O
the,DT,O
crown,NN,O
towards,IN,O
the,DT,O
person,NN,O
whom,WP,O
you,PRP,O
be,VBP,O
address,VBG,O
.,.,O
I,PRP,O
be,VBD,O
about,RB,O
to,TO,O
say,VB,O
that,IN,O
my,PRP$,O
friend,NN,O
and,CC,O
I,PRP,O
have,VBP,O
listen,VBN,O
to,IN,O
a,DT,O
good,JJ,O
many,JJ,O
strange,JJ,O
secret,NNS,O
in,IN,O
this,DT,O
room,NN,O
",",",",O
and,CC,O
that,IN,O
we,PRP,O
have,VBP,O
have,VBN,O
the,DT,O
good,JJ,O
fortune,NN,O
to,TO,O
