count,dirty_character,strongly_suggested,similarity,clean_character,weakly_suggested,similarities
29,Baskerville,,,,Henry Baskerville / Charles Baskerville / Hugo Baskerville / Baskerville Hall / Rodger Baskerville / William Baskerville / Rear-Admiral Baskerville / Mr. Henry Baskerville,"[1.7905694150420948, 1.7453559924999298, 1.816496580927726, 1.816496580927726, 1.7669649888473704, 1.7453559924999298, 1.659380473395787, 1.7071067811865475]"
28,Ferguson,,,,Mr. Ferguson / Mr. Robert Ferguson / Robert Ferguson / Bob Ferguson,"[1.7977240352174655, 1.6236095644623236, 1.7071067811865475, 1.7977240352174655]"
28,Stanley Hopkins,Stanley Hopkins,[2.0],,Hopkins,[1.6546536707079773]
28,Ettie,,,,Miss Ettie / Ettie Edwards / Ettie Shafter,"[1.6666666666666665, 1.5773502691896257, 1.5773502691896257]"
27,Ames,,,,Mr. Ames,[1.6546536707079773]
27,Baynes,Baynes,[2.0],,Mr. Baynes,[1.7453559924999298]
26,John Ferrier,,,,Ferrier / John,"[1.7385489458759964, 1.5222329678670934]"
25,Mr. Mac,,,,Mr. Mason / Mr. MacDonald / Mac,"[1.5550211698203658, 1.7071067811865475, 1.5773502691896257]"
25,Garcia,,,,Gar / Mr. Garcia / Mr. Aloysius Garcia / Beryl Garcia,"[1.632455532033676, 1.7453559924999298, 1.52704627669473, 1.674199862463242]"
25,Toby,,,,,
25,Scanlan,,,,Mike Scanlan,[1.7385489458759964]
25,Mr. Bennett,,,,Bennett / Mr. Trevor Bennett,"[1.7745966692414834, 1.7669649888473704]"
24,Ross,Duncan Ross,[1.547722557505166],,Duncan Ross,[1.547722557505166]
24,McCarthy,,,,Mr. McCarthy / Mr. James McCarthy / James McCarthy / Mr. Charles McCarthy,"[1.7977240352174655, 1.6416889479197478, 1.7337993857053429, 1.606976978666884]"
24,Ferrier,,,,John Ferrier / Lucy Ferrier,"[1.7385489458759964, 1.7385489458759964]"
23,Bannister,,,,,
23,St. Simon,,,,Lady St. Simon / Robert St. Simon / Simon / Lady Clara St. Simon,"[1.7844645405527362, 1.7302967433402214, 1.7071067811865475, 1.6488856845230502]"
23,Brunton,,,,Richard Brunton,[1.6546536707079773]
22,Sholto,Bartholomew Sholto,[1.5423261445466405],,Thaddeus Sholto / Mr. Sholto / Mr. Thaddeus Sholto / Bartholomew Sholto / John Sholto,"[1.597614304667197, 1.7453559924999298, 1.52704627669473, 1.5423261445466405, 1.7071067811865475]"
22,Peter Carey,,,,Peter / Pete / Carey,"[1.632455532033676, 1.547722557505166, 1.632455532033676]"
22,Jove,,,,,
22,Henry Baskerville,,,,Baskerville / Henry Baker / Mr. Henry Baskerville,"[1.7905694150420948, 1.6115124735378852, 1.8944271909999157]"
21,Sherlock,Sherlock Holmes,[1.7071067811865475],,Sherlock Holmes / Mr. Sherlock Holmes / Mr. Sherlock / Mister Sherlock Holmes,"[1.7071067811865475, 1.6236095644623236, 1.7977240352174655, 1.5773502691896257]"
21,Susan,,,,Susan Tarlton / Susan Dobney,"[1.5773502691896257, 1.6030226891555273]"
21,Miss Cushing,,,,Miss Sarah Cushing / Miss S. Cushing / Miss Susan Cushing,"[1.8043996665398438, 1.8864052604279182, 1.8043996665398438]"
21,Miss Dunbar,,,,Miss Grace Dunbar,[1.7905694150420948]
20,Stangerson,,,,Mr. Joseph Stangerson / Joseph Stangerson / Mr. Stangerson / Stanger / Brother Stangerson,"[1.670820393249937, 1.75, 1.8320502943378436, 1.816496580927726, 1.727606875108999]"
20,Gennaro,,,,America Gennaro / Gennaro Lucca,"[1.6546536707079773, 1.7071067811865475]"
20,Mr. Barker,,,,Barker / Mr. Cecil Barker / Mr. Harker / Mr. Baker,"[1.7453559924999298, 1.7745966692414834, 1.5555555555555556, 1.6999579113843055]"
20,Straker,,,,John Straker / Mrs. Straker / Mr. John Straker,"[1.7385489458759964, 1.7385489458759964, 1.632455532033676]"
20,Sarah,,,,Miss Sarah / Sarah Cushing,"[1.6666666666666665, 1.5773502691896257]"
20,Moran,,,,Sebastian Moran / Patience Moran / Augustus Moran,"[1.5345224838248488, 1.5547001962252291, 1.5547001962252291]"
20,Lucy,,,,Lucy Ferrier / Lucy Parr / Lucy adieu,"[1.5222329678670934, 1.6123724356957947, 1.5773502691896257]"
19,Mr. Rucastle,,,,Mrs. Rucastle / Rucastles / Rucastle,"[1.7794791888693982, 1.6212025072446363, 1.7977240352174655]"
19,Frank,,,,Frankland / Mr. Frankland,"[1.7071067811865475, 1.5773502691896257]"
18,Mortimer Tregennis,,,,Mortimer / Mr. Mortimer Tregennis / Tregennis,"[1.6416889479197478, 1.8997354108424374, 1.6859943405700353]"
18,Miss Hunter,,,,Hunter / Miss Violet Hunter,"[1.7071067811865475, 1.7669649888473704]"
18,George,George Sand,[1.7071067811865475],,George Burnwell / George Sand / George Meredith / George Lewis / George Ffolliott,"[1.597614304667197, 1.7071067811865475, 1.597614304667197, 1.674199862463242, 1.5773502691896257]"
18,Mr. Soames,,,,Soames / Mr. Hilton Soames,"[1.7453559924999298, 1.75]"
18,White Mason,,,,Mr. White Mason / Mason,"[1.8451542547285165, 1.632455532033676]"
18,Blessington,,,,Mr. Blessington,[1.8451542547285165]
17,McPherson,,,,Mr. McPherson / MacPherson / Fitzroy McPherson,"[1.8164965809277263, 1.6999579113843055, 1.7071067811865475]"
17,Mr. Lestrade,Lestrade,[1.7977240352174655],,Lestrade / G. Lestrade / Messrs. Lestrade,"[1.7977240352174655, 1.758116330321033, 1.518830867927189]"
17,Mr. Gibson,,,,Mr. Neil Gibson / Mrs. Gibson / Gibson,"[1.8017837257372733, 1.7321629316004565, 1.7453559924999298]"
17,Mr. Melas,,,,Melas,[1.7071067811865475]
17,Huxtable,,,,Thorneycroft Huxtable / Mr. Huxtable,"[1.5916079783099617, 1.7977240352174655]"
17,Coombe Tracey,,,,,
17,Mrs. Barclay,,,,Barclay,[1.7385489458759964]
17,Mrs. Warren,,,,Mr. Warren,[1.7321629316004565]
17,Joseph,Joseph Openshaw / Joseph Smith,"[1.597614304667197, 1.674199862463242]",,Joseph Stangerson / Mr. Joseph Harrison / Joseph Smith / Joseph Harrison / Jose,"[1.5590169943749475, 1.52704627669473, 1.674199862463242, 1.597614304667197, 1.7745966692414834]"
16,Masser Holmes,,,,Holmes / Master Holmes,"[1.6454972243679027, 1.6666666666666667]"
16,Emsworth,,,,Godfrey Emsworth,[1.6831300510639733]
16,Mr. Carruthers,,,,Carruthers / Bob Carruthers,"[1.8320502943378436, 1.5384615384615385]"
16,Phelps,,,,Mr. Phelps / Percy Phelps / Mr. Percy Phelps,"[1.7453559924999298, 1.674199862463242, 1.5773502691896257]"
15,Napoleon,,,,,
15,Jonathan Small,Jonathan Small,[2.0],,Jonathan,[1.7337993857053429]
15,Godfrey Staunton,,,,Godfrey / Mr. Godfrey Staunton / Staunton,"[1.632455532033676, 1.8885233166386386, 1.6831300510639733]"
15,Charles Baskerville,,,,Charles / Baskerville,"[1.5773502691896257, 1.7453559924999298]"
15,Wilson,Jabez Wilson,[1.674199862463242],,Mr. Wilson / Mr. Jabez Wilson / Jabez Wilson / Steve Wilson / Wilson Hargreave / Wilson Kemp / Bartholomew Wilson,"[1.7453559924999298, 1.5773502691896257, 1.674199862463242, 1.674199862463242, 1.5773502691896257, 1.7071067811865475, 1.5423261445466405]"
15,Miss Stoner,,,,Miss Stapleton / Miss Stoper / Stoner / Miss Helen Stoner,"[1.5016464154456235, 1.6, 1.7071067811865475, 1.7905694150420948]"
14,Trevor,,,,Mr. Trevor / Victor Trevor / Mr. Trevor Bennett,"[1.7453559924999298, 1.6454972243679027, 1.5423261445466405]"
14,McFarlane,,,,Mr. McFarlane / Mr. John Hector McFarlane / John Hector McFarlane / John McFarlane,"[1.8164965809277263, 1.5773502691896257, 1.632455532033676, 1.7844645405527362]"
14,Irene Adler,Irene Adler,[2.0],,Adler / Irene / Miss Irene Adler,"[1.632455532033676, 1.632455532033676, 1.816496580927726]"
14,Mr. Windibank,,,,Mr. James Windibank / Windibank,"[1.816496580927726, 1.8164965809277263]"
14,Carruthers,,,,Mr. Carruthers / Bob Carruthers,"[1.8320502943378436, 1.8320502943378436]"
14,Boss McGinty,,,,McGinty,[1.7385489458759964]
14,Stackhurst,,,,Harold Stackhurst,[1.75]
14,William,William Morris / William Clark Russell,"[1.6793662204867574, 1.547722557505166]",,Williamson / William Kirwan / William Crowder / Williams / Mr. Williamson / William the coachman / Mr. William Morris / William Derbyshire / William Hales / William Morris / William Whyte / William Baskerville / Charlie Williams / Mr. James Baker Williams,"[1.816496580927726, 1.6793662204867574, 1.6546536707079773, 1.9258200997725514, 1.6793662204867574, 1.5619514869490163, 1.5940885257860047, 1.5940885257860047, 1.7071067811865475, 1.6793662204867574, 1.7071067811865475, 1.5773502691896257, 1.632455532033676, 1.5107539184552492]"
14,Cadogan West,,,,Cadogen West / Arthur Cadogan West / West / Cadogan,"[1.6363636363636365, 1.7817359599705718, 1.5222329678670934, 1.7385489458759964]"
14,Holdhurst,,,,,
14,Woodley,,,,Mr. Woodley / Wood / Jack Woodley / Mrs. Woodley / Miss Edith Woodley,"[1.7745966692414834, 1.7071067811865475, 1.7385489458759964, 1.7385489458759964, 1.5940885257860047]"
13,Hill,Hill,[2.0],,Hill Barton / Miller Hill,"[1.547722557505166, 1.547722557505166]"
13,Musgrave,,,,Mr. Musgrave / Reginald Musgrave / Musgrave Ritual / Musgraves / Ralph Musgrave,"[1.7977240352174655, 1.6614378277661475, 1.7071067811865475, 1.9354143466934852, 1.7337993857053429]"
13,Mrs. Rucastle,,,,Mr. Rucastle / Rucastles / Rucastle,"[1.7794791888693982, 1.5894345083117605, 1.7637626158259734]"
13,Leonardo,,,,,
13,Birdy Edwards,,,,Edwards / Edward,"[1.7071067811865475, 1.6454972243679027]"
13,Simpson,,,,Fitzroy Simpson / Baldy Simpson,"[1.6546536707079773, 1.7071067811865475]"
13,John,John Hare / John B. Hood / John Clay / John Swain,"[1.6123724356957947, 1.5222329678670934, 1.6123724356957947, 1.5773502691896257]",,John Ferrier / John Straker / Johnson / John Douglas / John Clay / John Mason / John Rance / John Swain / John Mitton / John McMurdo / John Horner / John Clayton / Spencer John / John Holder / John Bull / John Cobb / John Hardy / John Hebron / Mr. Johnson / John McGinty / John Morland / John Sholto / John Warner / Johnnie / Johnny Hones / Johnston,"[1.5222329678670934, 1.5222329678670934, 1.7071067811865475, 1.5222329678670934, 1.6123724356957947, 1.5773502691896257, 1.5773502691896257, 1.5773502691896257, 1.547722557505166, 1.5222329678670934, 1.547722557505166, 1.5222329678670934, 1.5222329678670934, 1.547722557505166, 1.6123724356957947, 1.6123724356957947, 1.5773502691896257, 1.547722557505166, 1.547722557505166, 1.5222329678670934, 1.5222329678670934, 1.547722557505166, 1.547722557505166, 1.7071067811865475, 1.5222329678670934, 1.6546536707079773]"
13,Oberstein,,,,Hugo Oberstein / Mr. Oberstein / Mr. Hugo Oberstein,"[1.7844645405527362, 1.8164965809277263, 1.6859943405700353]"
13,Thaddeus Sholto,,,,Sholto / Mr. Thaddeus Sholto / Thaddeus,"[1.597614304667197, 1.8819171036881968, 1.7071067811865475]"
13,Trevelyan,,,,Percy Trevelyan,[1.7559289460184544]
13,Mr. Wilson,,,,Wilson / Mr. Jabez Wilson / Mr. Williamson,"[1.7453559924999298, 1.7745966692414834, 1.6284891505225276]"
13,Mr. Sholto,,,,Sholto / Mr. Thaddeus Sholto / Mr. Bartholomew Sholto,"[1.7453559924999298, 1.7071067811865475, 1.654653670707977]"
13,Mr. Hosmer Angel,,,,Hosmer / Hosmer Angel / Mr. Angel,"[1.5773502691896257, 1.8563488385776754, 1.7302967433402214]"
13,Mr. Holder,,,,,
13,Mr. Cunningham,,,,Cunningham / Alec Cunningham / Mr. Alec Cunningham,"[1.8320502943378436, 1.5104800858918703, 1.8498365855987973]"
13,Athelney Jones,Athelney Jones,[2.0],,Jones / Mr. Athelney Jones,"[1.5547001962252291, 1.8744746321952062]"
12,Frankland,,,,Frank / Mr. Frankland,"[1.7071067811865475, 1.8164965809277263]"
12,Ted Baldwin,,,,Baldwin / Teddy Baldwin,"[1.7745966692414834, 1.7215838362577491]"
12,Alice,,,,Miss Alice / Poor Alice / Alice Morphy,"[1.6666666666666665, 1.6666666666666665, 1.6030226891555273]"
12,Selden,,,,,
12,Bradstreet,Bradstreet,[2.0],,,
12,Sahib,,,,Nana Sahib,[1.6666666666666665]
12,Cecil Barker,,,,Barker / Mr. Cecil Barker / Cecil / Cecil James Barker,"[1.674199862463242, 1.8563488385776754, 1.6030226891555273, 1.8043996665398438]"
12,Bartholomew,Bartholomew Sholto,[1.7669649888473704],,Bartholomew Sholto / Mr. Bartholomew Sholto / Bartholomew Wilson / Bart,"[1.7669649888473704, 1.6900655593423544, 1.7669649888473704, 1.547722557505166]"
12,Mount-James,,,,James,[1.632455532033676]
12,Miss Harrison,,,,Harris,[1.6454972243679027]
12,Mr. Phelps,,,,Phelps / Mr. Percy Phelps,"[1.7453559924999298, 1.7745966692414834]"
12,Bennett,,,,Mr. Bennett / Mr. Trevor Bennett / Ben,"[1.7745966692414834, 1.5940885257860047, 1.5773502691896257]"
12,Lady Brackenstall,,,,,
12,Martin,Martin,[2.0],,,
11,Peterson,,,,Peters / Peter / Pete,"[1.8451542547285165, 1.7559289460184544, 1.6546536707079773]"
11,Smith,Joseph Smith,[1.6030226891555273],,Mrs. Smith / Mordecai Smith / Willoughby Smith / Mr. Smith / Ralph Smith / Miss Smith / Joseph Smith / Young Smith / James Smith / Culverton Smith,"[1.6666666666666665, 1.5547001962252291, 1.5163977794943222, 1.7071067811865475, 1.632455532033676, 1.6666666666666665, 1.6030226891555273, 1.632455532033676, 1.632455532033676, 1.5345224838248488]"
11,Miss Stapleton,,,,Stapleton / Miss Stoner / Stapletons,"[1.7844645405527362, 1.5016464154456235, 1.6284891505225276]"
11,Mr. Ferguson,,,,Ferguson / Mr. Robert Ferguson,"[1.7977240352174655, 1.7817359599705718]"
11,Mr. Merryweather,Mr. Merryweather,[2.0],,Merryweather,[1.8563488385776754]
11,Achmet,Achmet,[2.0],,,
11,Marvin,,,,Teddy Marvin / Marvin--he,"[1.674199862463242, 1.7453559924999298]"
11,Gar,,,,Garcia / Garrideb,"[1.632455532033676, 1.5345224838248488]"
11,Horner,,,,John Horner,[1.7071067811865475]
11,Lucas,,,,Eduardo Lucas / Mr. Lucas,"[1.5773502691896257, 1.7071067811865475]"
11,Sterndale,,,,Leon Sterndale,[1.7844645405527362]
11,Cartwright,,,,,
11,Openshaw,Elias Openshaw / John Openshaw / Joseph Openshaw,"[1.7337993857053429, 1.7637626158259734, 1.7071067811865475]",,John Openshaw,[1.7637626158259734]
11,Lady Frances,,,,Frances / Lady Frances Carfax,"[1.7385489458759964, 1.7817359599705718]"
11,Ralph,,,,Ralph Smith / Uncle Ralph / Ralph Musgrave,"[1.632455532033676, 1.632455532033676, 1.5547001962252291]"
11,Mycroft Holmes,Mycroft Holmes,[2.0],,Holmes / Mycroft / Mr. Mycroft Holmes,"[1.6201736729460423, 1.6793662204867574, 1.8744746321952062]"
11,Henderson,,,,Anderson / Mr. Henderson,"[1.6589265828801303, 1.8164965809277263]"
11,Armstrong,,,,Leslie Armstrong,[1.7302967433402214]
11,Roylott,,,,Grimesby Roylott / Roy / Miss Roylott,"[1.632455532033676, 1.5773502691896257, 1.7385489458759964]"
11,John Straker,,,,Straker / John / Mr. John Straker,"[1.7385489458759964, 1.5222329678670934, 1.8563488385776754]"
10,Ronder,,,,Mrs. Ronder / Eugenia Ronder,"[1.7071067811865475, 1.6201736729460423]"
10,Mr. Gregson,,,,Gregson,[1.7745966692414834]
10,Dolores,,,,,
10,Mr. Jonas Oldacre,,,,Oldacre / Mr. Oldacre / Jonas Oldacre,"[1.6123724356957947, 1.7905694150420948, 1.8660254037844388]"
10,Soames,,,,Mr. Soames / Cathcart Soames / Mr. Hilton Soames,"[1.7453559924999298, 1.597614304667197, 1.5590169943749475]"
10,Elsie,,,,,
10,Mrs. Laura Lyons,,,,Mrs. Lyons / Lyons / Laura Lyons,"[1.7745966692414834, 1.5163977794943222, 1.816496580927726]"
10,Mrs. Merrilow,,,,,
10,Lucy Ferrier,,,,Ferrier / Lucy,"[1.7385489458759964, 1.5222329678670934]"
10,Mrs. Allen,,,,,
10,Mrs. Lyons,,,,Mrs. Laura Lyons / Lyons,"[1.7745966692414834, 1.6666666666666665]"
10,Wiggins,,,,Higgins,[1.6666666666666667]
10,Mawson,,,,Dawson,[1.6]
10,Barclay,,,,Mrs. Barclay / James Barclay,"[1.7385489458759964, 1.7071067811865475]"
9,Duke,,,,,
9,Williamson,,,,William / Williams / Mr. Williamson,"[1.816496580927726, 1.8819171036881968, 1.8320502943378436]"
9,Gloria Scott,,,,,
9,Beppo,,,,,
9,Gregory,Gregory,[2.0],,,
9,Toller,,,,Mrs. Toller,[1.7071067811865475]
9,Mrs. Cecil Forrester,Forrester,[1.6488856845230502],,Mrs. Forrester / Forrester,"[1.827170191868511, 1.6488856845230502]"
9,Porlock,,,,Fred Porlock,[1.7385489458759964]
9,Mrs. St. Clair,,,,Mr. Neville St. Clair / Mr. St. Clair,"[1.5283448863944926, 1.797371512594646]"
9,Mr. Blessington,,,,Blessington,[1.8451542547285165]
9,Presbury,,,,Miss Presbury,[1.7637626158259734]
9,Hudson,Mrs. Hudson,[1.7071067811865475],,Mrs. Hudson / Morse Hudson / Mr. Morse Hudson,"[1.7071067811865475, 1.674199862463242, 1.5773502691896257]"
9,Barnicot,,,,,
9,Scott Eccles,,,,Mr. Scott Eccles / Eccles / Mr. John Scott Eccles,"[1.8563488385776754, 1.674199862463242, 1.7416198487095662]"
9,Theresa,,,,Theresa Wright,[1.6793662204867574]
9,Murdoch,,,,Ian Murdoch / Mr. Ian Murdoch / Mr. Murdoch / James Murdoch,"[1.7745966692414834, 1.6546536707079773, 1.7745966692414834, 1.7071067811865475]"
8,Hilton Cubitt,,,,Mr. Hilton Cubitt / Mrs. Hilton Cubitt,"[1.8660254037844388, 1.8401680504168059]"
8,Peters,,,,Peterson / Peter / Mrs. Peters / Pete / Henry Peters / Holy Peters / Mr. Peters,"[1.8451542547285165, 1.8944271909999157, 1.7071067811865475, 1.7745966692414834, 1.674199862463242, 1.7071067811865475, 1.7453559924999298]"
8,Eustace,,,,Eustace Brackenstall,[1.5619514869490163]
8,Mrs. Smith,,,,Smith / Mr. Smith,"[1.6666666666666665, 1.6999579113843055]"
8,Mr. Mason,,,,Mr. Mac / Mrs. Mason / Mr. White Mason / Mason / Mr. John Mason,"[1.5550211698203658, 1.6999579113843055, 1.7559289460184544, 1.7071067811865475, 1.7844645405527362]"
8,Mr. McCarthy,,,,McCarthy / Mr. James McCarthy / Mr. Charles McCarthy,"[1.7977240352174655, 1.8043996665398438, 1.7608859102526822]"
