docTokenBegin,text,ner,nerConfidences,title,clean_text,clean_text_others
4265,Eastern,MISC,{'MISC': 0.93873436159843},the_adventure_of_the_dying_detective,Eastern,Eastern
4281,Chinese,MISC,{'MISC': 0.99999720970626},the_adventure_of_the_dying_detective,Chinese,Chinese
4289,Mr. Culverton Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Culverton Smith,Mr. Culverton Smith
4383,Watson,PERSON,{'PERSON': 0.99960564237284},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4403,Holmes,PERSON,{'PERSON': 0.97391980597304},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4430,Mr. Holmes,PERSON,,the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4459,Holmes,PERSON,{'PERSON': 0.96654301609867},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4537,Watson,PERSON,{'PERSON': 0.99803076666271},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4551,Watson,PERSON,{'PERSON': 0.98061713663544},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4578,Watson,PERSON,{'PERSON': 0.94490576319513},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4600,Chinese,MISC,{'MISC': 0.99999860658784},the_adventure_of_the_dying_detective,Chinese,Chinese
4603,East End,LOCATION,{'LOCATION': 0.5510871583971},the_adventure_of_the_dying_detective,East End,East End
4612,Watson,PERSON,{'PERSON': 0.93223487286831},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4642,Holmes,PERSON,{'PERSON': 0.97514493302579},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4687,Watson,PERSON,{'PERSON': 0.96450217162474},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4693,Holmes,PERSON,{'PERSON': 0.95316301171585},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4704,Watson,PERSON,{'PERSON': 0.9193449887413},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4734,Watson,PERSON,{'PERSON': 0.9291743833517},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4764,Watson,PERSON,{'PERSON': 0.91047398237839},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
4920,Holmes,PERSON,{'PERSON': 0.68988723896988},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4927,Holmes,PERSON,{'PERSON': 0.68988723896988},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4948,Holmes,PERSON,{'PERSON': 0.99378192637147},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
4974,Mr. Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Smith,Mr. Smith
4978,Holmes,PERSON,{'PERSON': 0.99093759254163},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5021,Holmes,PERSON,{'PERSON': 0.94768424055131},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5065,London,LOCATION,{'LOCATION': 0.99749677690683},the_adventure_of_the_dying_detective,London,London
5086,Holmes,PERSON,{'PERSON': 0.98124105135418},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5112,Holmes,PERSON,{'PERSON': 0.93399742982823},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5135,Victor,PERSON,{'PERSON': 0.82036374214865},the_adventure_of_the_dying_detective,Victor,other
5175,Asiatic,MISC,{'MISC': 0.94259739951551},the_adventure_of_the_dying_detective,Asiatic,Asiatic
5181,London,LOCATION,{'LOCATION': 0.97265013293723},the_adventure_of_the_dying_detective,London,London
5202,Holmes,PERSON,{'PERSON': 0.96319901960948},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5370,Holmes,PERSON,{'PERSON': 0.98665501821735},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5426,Victor Savage,PERSON,{'PERSON': 0.99839457662738},the_adventure_of_the_dying_detective,Victor Savage,other
5480,Holmes,PERSON,{'PERSON': 0.70920336156004},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5542,East End,LOCATION,{'LOCATION': 0.51221536321607},the_adventure_of_the_dying_detective,East End,East End
5567,Holmes,PERSON,{'PERSON': 0.90375668204613},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5597,Holmes,PERSON,{'PERSON': 0.97795391446532},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5813,Holmes,PERSON,{'PERSON': 0.97634915764807},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5871,Wednesday,DATE,{'DATE': 0.99939308789486},the_adventure_of_the_dying_detective,Wednesday,Wednesday
5895,spring,DATE,{'DATE': 0.76899956675788},the_adventure_of_the_dying_detective,spring,spring
5957,Holmes,PERSON,{'PERSON': 0.98773365961812},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
5983,George,PERSON,{'PERSON': 0.77934516627882},the_adventure_of_the_dying_detective,George Sand,George Sand
6012,Holmes,PERSON,{'PERSON': 0.93864457753866},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6034,Victor Savage,PERSON,{'PERSON': 0.99248640732095},the_adventure_of_the_dying_detective,Victor Savage,other
6053,Holmes,PERSON,{'PERSON': 0.93396892575356},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6067,Holmes,PERSON,{'PERSON': 0.97348006527185},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6085,Smith,PERSON,{'PERSON': 0.99263956968262},the_adventure_of_the_dying_detective,Joseph Smith,Joseph Smith
6198,Culverton Smith,PERSON,{'PERSON': 0.99841888489231},the_adventure_of_the_dying_detective,Culverton Smith,other
6249,Holmes,PERSON,{'PERSON': 0.99009542928997},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6341,Morton,PERSON,{'PERSON': 0.9965680499376},the_adventure_of_the_dying_detective,Morton,Morton
6357,Holmes,PERSON,{'PERSON': 0.98488635933384},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6378,Victor Savage,PERSON,{'PERSON': 0.99819954353856},the_adventure_of_the_dying_detective,Victor Savage,other
6396,Sherlock Holmes,PERSON,{'PERSON': 0.98195505054862},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6416,Mr. Culverton Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Culverton Smith,Mr. Culverton Smith
6561,Holmes,PERSON,{'PERSON': 0.82527635272273},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6616,Holmes,PERSON,{'PERSON': 0.96537692448914},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6634,Holmes,PERSON,{'PERSON': 0.88745197958875},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6645,Watson,PERSON,{'PERSON': 0.98315870112631},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
6669,Mr. Culverton Smith,PERSON,,the_adventure_of_the_dying_detective,Mr. Culverton Smith,Mr. Culverton Smith
6683,evening,TIME,{'TIME': 0.7190664565856},the_adventure_of_the_dying_detective,evening,evening
6720,Holmes,PERSON,{'PERSON': 0.99927368927422},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6773,Mrs. Hudson,PERSON,,the_adventure_of_the_dying_detective,Mrs. Hudson,Mrs. Hudson
6804,Watson,PERSON,{'PERSON': 0.99143533010309},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
6835,Smith,PERSON,{'PERSON': 0.99268849625267},the_adventure_of_the_dying_detective,Joseph Smith,Joseph Smith
6879,Holmes,PERSON,{'PERSON': 0.93561681232471},the_adventure_of_the_dying_detective,Sherlock Holmes,Sherlock Holmes
6899,Watson,PERSON,{'PERSON': 0.93947163238718},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
7018,Watson,PERSON,{'PERSON': 0.99676722905942},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
7078,Smith,PERSON,{'PERSON': 0.62014013651385},the_adventure_of_the_dying_detective,Joseph Smith,Joseph Smith
7085,Watson,PERSON,{'PERSON': 0.93064128374172},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
7107,spring,DATE,{'DATE': 0.83337662193929},the_adventure_of_the_dying_detective,spring,spring
7130,Savage,PERSON,{'PERSON': 0.87135252177878},the_adventure_of_the_dying_detective,Savage,other
7217,Watson,PERSON,{'PERSON': 0.9349512910148},the_adventure_of_the_dying_detective,John H. Watson,John H. Watson
7243,Simpson,PERSON,{'PERSON': 0.86889286287771},the_adventure_of_the_dying_detective,Simpson,Simpson
12,Sherlock Holmes,PERSON,{'PERSON': 0.99995581288174},the_musgrave_ritual,Sherlock Holmes,Sherlock Holmes
91,Afghanistan,LOCATION,{'LOCATION': 0.99900049658776},the_musgrave_ritual,Afghanistan,Afghanistan
148,Persian,MISC,{'MISC': 0.99809517061811},the_musgrave_ritual,Persian,Persian
200,Holmes,PERSON,{'PERSON': 0.96848964674161},the_musgrave_ritual,Sherlock Holmes,Sherlock Holmes
590,Watson,PERSON,{'PERSON': 0.93181608051173},the_musgrave_ritual,John H. Watson,John H. Watson
704,Watson,PERSON,{'PERSON': 0.97075526234084},the_musgrave_ritual,John H. Watson,John H. Watson
727,Tarleton,LOCATION,{'LOCATION': 0.95843665033299},the_musgrave_ritual,Tarleton,Tarleton
734,Vamberry,LOCATION,{'LOCATION': 0.40013875722415},the_musgrave_ritual,Vamberry,Vamberry
746,Russian,MISC,{'MISC': 0.99999955583722},the_musgrave_ritual,Russian,Russian
765,Ricoletti,PERSON,{'PERSON': 0.52171191296336},the_musgrave_ritual,Ricoletti,other
944,Sherlock Holmes,PERSON,{'PERSON': 0.99358150714428},the_musgrave_ritual,Sherlock Holmes,Sherlock Holmes
1080,Watson,PERSON,{'PERSON': 0.96525600739622},the_musgrave_ritual,John H. Watson,John H. Watson
1153,Gloria Scott,PERSON,{'PERSON': 0.7764651509592},the_musgrave_ritual,Gloria Scott,Gloria Scott
1250,Scarlet,LOCATION,{'LOCATION': 0.4066306908952},the_musgrave_ritual,Scarlet,Scarlet
1305,London,LOCATION,{'LOCATION': 0.99693620184132},the_musgrave_ritual,London,London
1310,Montague Street,LOCATION,{'LOCATION': 0.98670968969843},the_musgrave_ritual,Montague Street,Montague Street
1319,British,MISC,{'MISC': 0.74109962919968},the_musgrave_ritual,British,British
1374,University,ORGANIZATION,{'ORGANIZATION': 0.58465269550921},the_musgrave_ritual,University,University
1398,Musgrave Ritual,ORGANIZATION,{'ORGANIZATION': 0.47367122571654},the_musgrave_ritual,Musgrave Ritual,Musgrave Ritual
1443,Reginald Musgrave,PERSON,{'PERSON': 0.99963718407237},the_musgrave_ritual,Reginald Musgrave,other
1558,sixteenth century,DATE,{'DATE': 0.59681589086755},the_musgrave_ritual,sixteenth century,sixteenth century
1567,Sussex,LOCATION,{'ORGANIZATION': 0.47635148183013},the_musgrave_ritual,Sussex,Sussex
1571,Manor House of Hurlstone,ORGANIZATION,{'ORGANIZATION': 0.84295351429428},the_musgrave_ritual,Manor House of Hurlstone,Manor House of Hurlstone
1680,Montague Street,LOCATION,{'LOCATION': 0.99714996149676},the_musgrave_ritual,Montague Street,Montague Street
1728,Musgrave,PERSON,{'PERSON': 0.99762672584192},the_musgrave_ritual,Musgrave,Musgrave
1803,Holmes,PERSON,{'PERSON': 0.96027660285508},the_musgrave_ritual,Sherlock Holmes,Sherlock Holmes
1871,Hurlstone,ORGANIZATION,{'ORGANIZATION': 0.41838205205076},the_musgrave_ritual,Hurlstone,Hurlstone
1910,Watson,PERSON,{'PERSON': 0.93192794884142},the_musgrave_ritual,John H. Watson,John H. Watson
1975,Reginald Musgrave,PERSON,{'PERSON': 0.99903356541063},the_musgrave_ritual,Reginald Musgrave,other
2023,Hurlstone,LOCATION,{'LOCATION': 0.44126639232851},the_musgrave_ritual,Hurlstone,Hurlstone
2118,Brunton,LOCATION,{'LOCATION': 0.42606199900413},the_musgrave_ritual,Brunton,Brunton
2283,Don Juan,PERSON,{'PERSON': 0.77269999885782},the_musgrave_ritual,Don Juan,other
2358,Rachel Howells,PERSON,{'PERSON': 0.99963489744264},the_musgrave_ritual,Rachel Howells,other
2379,Janet Tregellis,PERSON,{'PERSON': 0.99931444993345},the_musgrave_ritual,Janet Tregellis,other
2391,Rachel--who,PERSON,{'PERSON': 0.68625655085904},the_musgrave_ritual,Rachel--who,other
2404,Welsh,MISC,{'MISC': 0.76417296966221},the_musgrave_ritual,Welsh,Welsh
2445,Hurlstone,ORGANIZATION,{'ORGANIZATION': 0.46878903000412},the_musgrave_ritual,Hurlstone,Hurlstone
2470,Brunton,PERSON,{'PERSON': 0.73275831007845},the_musgrave_ritual,Brunton,Brunton
2563,Thursday,DATE,{'DATE': 0.99271092368638},the_musgrave_ritual,Thursday,Thursday
2564,night,TIME,{'TIME': 0.90383796883802},the_musgrave_ritual,night,night
2600,morning,TIME,{'TIME': 0.76180933787765},the_musgrave_ritual,morning,morning
2751,Hurlstone,LOCATION,{'LOCATION': 0.38909196930439},the_musgrave_ritual,Hurlstone,Hurlstone
2800,Brunton,PERSON,{'PERSON': 0.74030591344422},the_musgrave_ritual,Brunton,Brunton
2975,Brunton,PERSON,{'PERSON': 0.56676317612579},the_musgrave_ritual,Brunton,Brunton
3095,Brunton,PERSON,{'PERSON': 0.96276255600009},the_musgrave_ritual,Brunton,Brunton
3146,Musgrave,PERSON,{'PERSON': 0.91793503906583},the_musgrave_ritual,Musgrave,Musgrave
3239,Brunton,PERSON,{'PERSON': 0.96947684176446},the_musgrave_ritual,Brunton,Brunton
3270,Mr. Musgrave,PERSON,,the_musgrave_ritual,Mr. Musgrave,other
3376,Mr. Musgrave,PERSON,,the_musgrave_ritual,Mr. Musgrave,other
3406,Brunton,PERSON,{'PERSON': 0.87220658401383},the_musgrave_ritual,Brunton,Brunton
3560,Brunton,PERSON,{'PERSON': 0.969036762764},the_musgrave_ritual,Brunton,Brunton
3596,third morning,TIME,{'TIME': 0.5901432661925},the_musgrave_ritual,third morning,third morning
3631,Rachel Howells,PERSON,{'PERSON': 0.99990200567566},the_musgrave_ritual,Rachel Howells,other
3724,Mr. Musgrave,PERSON,,the_musgrave_ritual,Mr. Musgrave,other
3765,Brunton,PERSON,{'PERSON': 0.87524140901308},the_musgrave_ritual,Brunton,Brunton
3871,Brunton,PERSON,{'PERSON': 0.84222467253832},the_musgrave_ritual,Brunton,Brunton
3937,morning,TIME,{'TIME': 0.58033019536861},the_musgrave_ritual,morning,morning
3984,Brunton,PERSON,{'PERSON': 0.87176855591322},the_musgrave_ritual,Brunton,Brunton
3989,night,TIME,{'TIME': 0.6627352861685},the_musgrave_ritual,night,night
4105,night before,TIME,{'TIME': 0.82807599740708},the_musgrave_ritual,night before,night before
4149,Rachel Howells,PERSON,{'PERSON': 0.99942190725196},the_musgrave_ritual,Rachel Howells,other
4178,third night,TIME,{'TIME': 0.68365774473269},the_musgrave_ritual,third night,third night
4181,Brunton,PERSON,{'PERSON': 0.94996579997367},the_musgrave_ritual,Brunton,Brunton
4449,Rachel Howells,PERSON,{'PERSON': 0.99316025966416},the_musgrave_ritual,Rachel Howells,other
4453,Richard Brunton,PERSON,{'PERSON': 0.93710285574565},the_musgrave_ritual,Richard Brunton,other
4484,Watson,PERSON,{'PERSON': 0.95633090363702},the_musgrave_ritual,John H. Watson,John H. Watson
4547,Welsh,MISC,{'MISC': 0.91626855312483},the_musgrave_ritual,Welsh,Welsh
4632,Musgrave,PERSON,{'PERSON': 0.99183506440332},the_musgrave_ritual,Musgrave,Musgrave
4730,Watson,PERSON,{'PERSON': 0.59916180181899},the_musgrave_ritual,John H. Watson,John H. Watson
4741,Musgrave,PERSON,{'PERSON': 0.95728616799796},the_musgrave_ritual,Musgrave,Musgrave
4941,seventeenth century,DATE,{'DATE': 0.5813210099852},the_musgrave_ritual,seventeenth century,seventeenth century
4946,Musgrave,PERSON,{'PERSON': 0.9888067243599},the_musgrave_ritual,Musgrave,Musgrave
5021,Musgrave,PERSON,{'PERSON': 0.97976095685272},the_musgrave_ritual,Musgrave,Musgrave
5064,Musgrave,PERSON,{'PERSON': 0.9979308284684},the_musgrave_ritual,Musgrave,Musgrave
5094,Brunton,PERSON,{'PERSON': 0.98922335386935},the_musgrave_ritual,Brunton,Brunton
5244,Sussex,LOCATION,{'ORGANIZATION': 0.64402370043735},the_musgrave_ritual,Sussex,Sussex
5268,Hurlstone,LOCATION,{'LOCATION': 0.52330376896006},the_musgrave_ritual,Hurlstone,Hurlstone
5350,1607,DATE,{'DATE': 0.92161930426513},the_musgrave_ritual,1607,1607
5383,last century,DATE,{'DATE': 0.74471319696078},the_musgrave_ritual,last century,last century
5460,Watson,PERSON,{'PERSON': 0.9609006486708},the_musgrave_ritual,John H. Watson,John H. Watson
5482,Musgrave Ritual,PERSON,{'PERSON': 0.57057955622899},the_musgrave_ritual,Musgrave Ritual,other
5504,Brunton,PERSON,{'PERSON': 0.85234432997004},the_musgrave_ritual,Brunton,Brunton
5508,Howells,PERSON,{'PERSON': 0.97363100780658},the_musgrave_ritual,Howells,other
5626,Musgraves,PERSON,{'PERSON': 0.3770861897608},the_musgrave_ritual,Musgraves,other
5732,Norman Conquest,PERSON,{'PERSON': 0.38988133253519},the_musgrave_ritual,Norman Conquest,other
6052,Reginald Musgrave,PERSON,{'PERSON': 0.99555367812273},the_musgrave_ritual,Reginald Musgrave,other
6075,Brunton,PERSON,{'PERSON': 0.936343704696},the_musgrave_ritual,Brunton,Brunton
6106,Watson,PERSON,{'PERSON': 0.58692889442103},the_musgrave_ritual,John H. Watson,John H. Watson
