doc,sentences,Mesi,accordionmonkey,judge1,judge2,nltk_characters,nltk_text
doc_45,"He can give no explanation of the young man's last words, 'The Professor--it was she,' but imagines that they were the outcome of delirium.",The Professor,Professor,1,1,0,
doc_44,A Juryman: Did you see nothing which aroused your suspicions when you returned on hearing the cry and found your father fatally injured?,Juryman,Juryman,1,1,0,
doc_50,"I never hear of such a case as this that I do not think of Baxter's words, and say, 'There, but for the grace of God, goes Sherlock Holmes.",Baxter | Sherlock Holmes,Baxter | Sherlock Holmes,1,1,1,Baxter
doc_46,You can take my word that she is innocent.,,,0,0,0,
doc_47,"He has been laid up with a hack, and once he slipped his knee-cap, but that was nothing.",,,0,0,0,
doc_20,"Both of them were blue-lipped and insensible, with swollen, congested faces and protruding eyes.",,,0,0,0,
doc_34,"The patient and I then plunged into a discussion of his case, of which I took exhaustive notes.",,,0,0,0,
doc_08,Let me have the straight tip and you won't be a loser.,,,0,0,0,
doc_09,"Fowler was a very kind-spoken, free-handed gentleman,"" said Mrs. Toller serenely.",Fowler | Mrs. Toller,Fowler | Mrs. Toller,1,1,1,Fowler | Toller
doc_35,I sat up in bed and rapped my knuckles against the rail to make certain that I was truly awake.,,,0,0,0,
doc_21,"And one who was at home in the district, for the pool can only be approached by the farm or by the estate, where strangers could hardly wander.",,,0,0,0,
doc_37,"See what you can make of that, friend Watson.",Watson,Watson,1,1,1,Watson
doc_23,"Then, again, the man who took the rooms spoke English well.",,,0,0,1,English
doc_22,That could only mean that it had been made to some special measurement.,,,0,0,0,
doc_36,"I have a caseful of cigarettes here which need smoking, and the sofa is very much superior to the usual country hotel abomination.",,,0,0,0,
doc_32,"'""'You're only wasting your time, sir, and every minute now is of importance,' cried the commissionaire; 'take my word for it that my old woman has nothing to do with it, and come down to the other end of the street.",,,0,0,0,
doc_26,"Address printed in rather straggling characters: 'Miss S. Cushing, Cross Street, Croydon.'",Miss S. Cushing,Miss S. Cushing,1,1,1,Address | Cross Street
doc_27,"I will not trouble you with any lengthy cross-examination, Professor Coram, since I gather that you were in bed at the time of the crime and could know nothing about it.",Professor Coram,Professor Coram,1,1,1,Professor Coram
doc_33,But it might have been a cry of surprise.,,,0,0,0,
doc_19,"They stood with their heads close together, talking in low, confidential tones.",,,0,0,0,
doc_25,And you are sure that this is your husband's hand?,,,0,0,0,
doc_31,"In the first place, have you heard of any strangers being seen in your neighbourhood?""""No.",,,0,0,0,
doc_24,Every problem becomes very childish when once it is explained to you.,,,0,0,0,
doc_18,"And, I say, Peterson, just buy a goose on your way back and leave it here with me, for we must have one to give to this gentleman in place of the one which your family is now devouring.",Peterson,Peterson,1,1,1,Peterson
